Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Popcorn Dice,5.543,6.21,150,N/A,2021,1.00,2,6,10,20,7,N/A,N/A
Regnum Angelica,5.543,6.64,122,50.00,2014,2.45,2,2,45,45,18,Abstract,N/A
Pictionary: 15th Anniversary,5.543,6.19,155,N/A,2000,1.25,3,16,90,90,12,N/A,N/A
Get to da Checkpoint,5.543,7.04,66,N/A,2021,1.60,1,1,30,60,8,N/A,N/A
Capital City,5.543,6.18,141,N/A,2017,2.00,3,6,30,50,8,N/A,N/A
Guerra De Mitos II,5.543,7.65,71,N/A,2013,2.20,2,6,20,20,10,Customizable,N/A
"Vijayanagara: The Deccan Empires of Medieval India, 1290-1398",5.543,8.65,35,N/A,2024,2.50,1,3,60,120,13,Wargames,N/A
Cairo Corridor,5.543,7.16,55,N/A,2013,2.00,2,2,20,20,10,Abstract,N/A
Swatch: The Abstract Game of Art,5.543,7.12,68,N/A,2022,1.83,1,4,30,60,14,Family,N/A
Age of Craft,5.543,6.77,70,N/A,2014,2.00,2,4,40,40,10,N/A,N/A
Volle Scholle,5.543,6.17,132,N/A,2011,1.60,3,4,20,20,8,N/A,N/A
Mutabo: Family & Kids,5.542,7.6,42,N/A,2020,1.00,3,6,20,20,8,N/A,N/A
Tribes,5.542,6.51,92,N/A,1998,2.08,4,8,240,240,N/A,Thematic,N/A
Volta,5.542,6.89,63,N/A,2003,1.00,2,4,5,5,6,N/A,N/A
"Viking: Tactical Warfare in the Dark Ages, 700-1300",5.542,6.7,83,N/A,1975,2.25,2,2,120,120,12,Wargames,N/A
